code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A003490,koreanAir,KOSPI,20170321,19258,20100,19225,20036,1028182,31521000000,72839000,1459402000000,11871505,16.299999237060547,189461,-7894360
A003490,koreanAir,KOSPI,20170322,19841,20100,19484,19517,533265,16198000000,72839000,1421598000000,11748547,16.1299991607666,76326,-7818034
A003490,koreanAir,KOSPI,20170323,19744,20263,19679,19906,765859,23549000000,72839000,1449933000000,11749605,16.1299991607666,99923,-7718111
A003490,koreanAir,KOSPI,20170324,19582,20263,19582,20068,1034563,31884000000,72839000,1461733000000,11751440,16.1299991607666,318685,-7399426
A003490,koreanAir,KOSPI,20170327,19938,20457,19744,20425,707225,22029000000,72839000,1487736000000,11820470,16.229999542236328,182746,-7216680
A003490,koreanAir,KOSPI,20170328,20165,20522,20165,20457,1001175,31472000000,94844000,1940223000000,14854481,15.65999984741211,108707,-7107973
A003490,koreanAir,KOSPI,20170329,20425,21008,20295,20587,943568,30051000000,94844000,1952553000000,14982787,15.800000190734863,120420,-6987553
A003490,koreanAir,KOSPI,20170330,20554,20587,19874,19971,776289,24054000000,94844000,1894129000000,14862571,15.670000076293945,41062,-6946491
A003490,koreanAir,KOSPI,20170331,20036,20554,19938,20457,625966,19684000000,94844000,1940223000000,15018075,15.829999923706055,124925,-6821566
A003490,koreanAir,KOSPI,20170403,20554,20554,19938,20165,630671,19579000000,94844000,1912529000000,15028971,15.850000381469727,27047,-6794519
A003490,koreanAir,KOSPI,20170404,20100,20327,20100,20165,432838,13512000000,94844000,1912529000000,15100754,15.920000076293945,17775,-6776744
A003490,koreanAir,KOSPI,20170405,20165,20263,19841,20068,436059,13476000000,94844000,1903329000000,15077817,15.899999618530273,65521,-6711223
A003490,koreanAir,KOSPI,20170406,20036,20036,19647,19809,425638,12980000000,94844000,1878764000000,15048137,15.869999885559082,-44008,-6755231
A003490,koreanAir,KOSPI,20170407,19938,20230,19647,19776,690220,21093000000,94844000,1875634000000,15041686,15.859999656677246,11965,-6743266
A003490,koreanAir,KOSPI,20170410,19776,19841,19063,19355,763370,22702000000,94844000,1835705000000,15207698,16.030000686645508,-73246,-6816512
